team_committed,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,median_nil_value,rating_avg,consensus_rating_avg,stars_avg,consensus_stars_avg,top_brand,top_position,deals_per_athlete
Florida,402,115,0.0,0.0,0.0,92.17368421052632,90.62600358891947,3.8210526315789473,3.6386861313868613,Unknown,All,3.4956521739130433
Texas,265,90,42537256.0,5317157.0,5317157.0,94.0752688172043,94.4104552676575,4.043010752688172,3.6166666666666667,Unknown,CG,2.9444444444444446
Oklahoma,237,98,13005080.0,1625635.0,1625635.0,91.5,89.19230107748717,3.7333333333333334,3.406779661016949,Unknown,IF,2.4183673469387754
LSU,230,71,66662366.0,1550287.5813953488,1500772.0,93.65714285714286,91.24708843417977,4.0285714285714285,3.5,Unknown,All,3.23943661971831
UCLA,225,59,0.0,0.0,0.0,92.25,88.96502430739649,3.825,3.4597701149425286,Unknown,QB,3.8135593220338984
Ohio State,201,82,97104235.0,2774406.714285714,2381076.0,94.359375,94.17366689118076,4.15625,3.993333333333333,Unknown,WR,2.451219512195122
Penn State,183,74,0.0,0.0,0.0,94.04807692307692,92.28021220334088,4.173076923076923,3.9518072289156625,Unknown,DL,2.472972972972973
Stanford,179,90,0.0,0.0,0.0,88.140625,86.60084183955703,3.234375,3.028776978417266,Unknown,WR,1.988888888888889
Tennessee,176,75,0.0,0.0,0.0,92.27586206896552,91.1772756382897,3.8275862068965516,3.2808988764044944,Unknown,DL,2.3466666666666667
Kansas State,170,64,6792912.0,2264304.0,2264304.0,90.06818181818181,87.329979283748,3.7045454545454546,3.255813953488372,Unknown,IOL,2.65625
Nebraska,168,65,6803096.0,1700774.0,1700774.0,90.86206896551724,89.50157531396674,3.5517241379310347,3.4324324324324325,Unknown,P,2.5846153846153848
Arkansas,167,91,16448576.0,2056072.0,2056072.0,92.0625,89.42688105942837,3.78125,3.1683168316831685,Unknown,S,1.835164835164835
Florida State,161,76,0.0,0.0,0.0,90.6923076923077,89.8995898218909,3.6153846153846154,3.6122448979591835,Unknown,QB,2.1184210526315788
South Carolina,158,67,33305262.0,2561943.230769231,2589918.0,95.10810810810811,90.69329072106541,4.297297297297297,3.5121951219512195,Unknown,PG,2.3582089552238807
Texas A&M,153,83,6376035.0,2125345.0,2125345.0,92.1,90.34438563784047,3.7714285714285714,3.487603305785124,Unknown,WR,1.8433734939759037
NC State,136,64,1555055.0,1555055.0,1555055.0,91.79411764705883,88.15038877598596,3.676470588235294,3.2873563218390807,Unknown,SG,2.125
SMU,136,49,0.0,0.0,0.0,89.78947368421052,88.86835564106761,3.5789473684210527,3.4536082474226806,Unknown,MB,2.7755102040816326
Miami,134,67,39613597.0,3047199.769230769,3139796.0,92.23809523809524,90.93950558692124,3.761904761904762,3.466019417475728,Unknown,PF,2.0
Utah,133,45,0.0,0.0,0.0,91.14814814814815,88.64908888617717,3.6296296296296298,3.425925925925926,Unknown,All,2.9555555555555557
Texas Tech,133,77,0.0,0.0,0.0,89.57142857142857,85.52652483101453,3.4571428571428573,2.8217821782178216,Unknown,LB,1.7272727272727273
Houston,132,66,0.0,0.0,0.0,91.22222222222223,89.1360572440937,3.4444444444444446,2.945945945945946,Unknown,SG,2.0
Indiana,132,56,2613760.0,2613760.0,2613760.0,90.875,87.34392086203452,3.875,3.0,Unknown,SG,2.357142857142857
Iowa State,132,51,0.0,0.0,0.0,87.51162790697674,85.65094329859967,3.0930232558139537,2.9452054794520546,North Ankeny HyVee,PG,2.588235294117647
Memphis,124,61,0.0,0.0,0.0,91.63414634146342,89.02754816342593,3.731707317073171,3.1862745098039214,Unknown,PG,2.0327868852459017
Alabama,120,39,26336292.0,1881163.7142857143,1575405.0,96.23214285714286,95.17101694574775,4.446428571428571,4.212121212121212,Unknown,PV,3.076923076923077
